# MAPbBr3 S2, dark   params: examples/MAPbBr3_S2.params
# ALTERNATIVE reading: analysis branch applied to examples/VJT.dat.
# One row per measured point; p_t is the total space charge of Eq (6).
# valid = 1 at 100 of 214 points; the rest are not physical.
V(V)	J(A/m2)	T(K)	m	gamma	mu_eff(m2/Vs)	p_f(m-3)	p_t(m-3)	Theta	E_F(eV)	valid
3.867127e-01	5.492498e-07	2.851250e+02	-8.715398e+00	-1.147395e-01	7.048079e-07	9.315404e+11	3.568574e+15	2.610400e-04	-4.865816e+00	0.000000e+00
4.007750e-01	2.178839e-06	3.010721e+02	-2.833714e-01	-3.528937e+00	9.373658e-08	1.363829e+12	3.928390e+16	3.471725e-05	-4.833644e+00	0.000000e+00
4.148373e-01	2.798963e-07	3.141555e+02	3.811012e+00	2.623975e-01	6.986880e-07	5.385749e+11	2.081261e+15	2.587733e-04	-4.774330e+00	0.000000e+00
4.288995e-01	-6.097553e-08	3.071930e+02	-2.092266e+00	-4.779506e-01	-3.494331e-08	-7.957642e+10	6.148712e+15	-1.294197e-05	-4.742456e+00	0.000000e+00
4.429618e-01	1.271327e-06	2.957172e+02	-9.261140e+00	-1.079781e-01	1.259001e-06	1.888435e+12	4.049856e+15	4.662968e-04	-4.855898e+00	0.000000e+00
4.570241e-01	2.827847e-06	2.853227e+02	2.608143e+00	3.834146e-01	8.038072e-06	5.308785e+12	1.783229e+15	2.977064e-03	-4.908084e+00	0.000000e+00
4.710864e-01	1.483396e-07	2.850503e+02	9.742998e+00	1.026378e-01	1.979487e-07	2.301884e+11	3.139746e+15	7.331433e-05	-4.831674e+00	0.000000e+00
4.851487e-01	5.743870e-08	3.007842e+02	-9.891498e-01	-1.010969e+00	1.280565e-08	5.453817e+10	1.149907e+16	4.742834e-06	-4.750956e+00	0.000000e+00
4.992110e-01	1.231988e-06	3.140882e+02	-5.566629e+00	-1.796419e-01	8.438834e-07	1.570414e+12	5.024530e+15	3.125494e-04	-4.803476e+00	0.000000e+00
5.132732e-01	3.549225e-06	3.075529e+02	9.342983e+00	1.070322e-01	4.027901e-06	5.066625e+12	3.396281e+15	1.491815e-03	-4.851513e+00	1.000000e+00
5.273355e-01	4.415245e-07	2.960814e+02	1.306778e+01	7.652412e-02	4.445765e-07	6.037513e+11	3.666700e+15	1.646580e-04	-4.825864e+00	1.000000e+00
5.413978e-01	7.875259e-08	2.856442e+02	-4.720524e-01	-2.118409e+00	4.859647e-09	4.898871e+10	2.721792e+16	1.799869e-06	-4.791951e+00	0.000000e+00
5.554601e-01	1.770288e-06	2.847969e+02	-2.145068e+00	-4.661857e-01	6.155491e-07	1.792431e+12	7.862191e+15	2.279811e-04	-4.882742e+00	0.000000e+00
5.695224e-01	4.163181e-06	3.004181e+02	9.215000e+00	1.085187e-01	3.849925e-06	5.360306e+12	3.759249e+15	1.425898e-03	-4.870783e+00	1.000000e+00
5.835846e-01	6.492357e-07	3.139235e+02	1.485436e+01	6.732028e-02	5.234886e-07	7.983913e+11	4.117867e+15	1.938847e-04	-4.785604e+00	1.000000e+00
5.976469e-01	4.476715e-07	3.078581e+02	-9.565145e-01	-1.045463e+00	6.320288e-08	3.411447e+11	1.457355e+16	2.340847e-05	-4.779172e+00	0.000000e+00
6.117092e-01	1.573148e-06	2.963845e+02	-9.324736e+00	-1.072416e-01	8.180379e-07	1.692729e+12	5.586988e+15	3.029770e-04	-4.851383e+00	0.000000e+00
6.257715e-01	4.979858e-06	2.859393e+02	7.802742e-01	1.281601e+00	-8.371141e-05	1.536429e+13	-4.955546e+14	-3.100423e-02	-4.932737e+00	0.000000e+00
6.398338e-01	9.703153e-07	2.845206e+02	6.750628e+00	1.481344e-01	7.761638e-07	1.135830e+12	3.951152e+15	2.874681e-04	-4.872269e+00	0.000000e+00
6.538960e-01	-1.887516e-07	3.000350e+02	-2.268577e+00	-4.408050e-01	-4.920017e-08	-1.640310e+11	9.001668e+15	-1.822229e-05	-4.781588e+00	0.000000e+00
6.679583e-01	1.551727e-06	3.137565e+02	-8.673417e+00	-1.152948e-01	6.667297e-07	1.523253e+12	6.168591e+15	2.469369e-04	-4.803515e+00	0.000000e+00
6.820206e-01	5.467542e-06	3.081426e+02	4.920453e+00	2.032333e-01	4.371671e-06	6.188424e+12	3.822050e+15	1.619137e-03	-4.855351e+00	0.000000e+00
6.960829e-01	8.209817e-07	2.966205e+02	1.501397e+01	6.660464e-02	4.645896e-07	8.461142e+11	4.917261e+15	1.720702e-04	-4.833048e+00	0.000000e+00
7.101452e-01	3.302748e-07	2.861414e+02	1.726102e+00	5.793400e-01	7.379629e-07	4.540621e+11	1.661286e+15	2.733196e-04	-4.845419e+00	1.000000e+00
7.242074e-01	2.103086e-06	2.842458e+02	-1.445710e+01	-6.917015e-02	8.380244e-07	1.946592e+12	6.271653e+15	3.103794e-04	-4.886184e+00	0.000000e+00
7.382697e-01	6.678868e-06	2.996619e+02	3.612581e-01	2.768104e+00	-1.123801e-05	-1.633596e+13	3.924815e+15	-4.162225e-03	-4.901442e+00	0.000000e+00
7.523320e-01	1.396683e-06	3.135863e+02	9.897355e+00	1.010371e-01	7.282305e-07	1.355966e+12	5.027404e+15	2.697150e-04	-4.800814e+00	1.000000e+00
7.663943e-01	9.965613e-08	3.084651e+02	7.124380e-01	1.403631e+00	-1.130706e-06	3.024222e+11	-7.221506e+14	-4.187800e-04	-4.774312e+00	0.000000e+00
7.804566e-01	2.173817e-06	2.969242e+02	-1.882682e+01	-5.311572e-02	7.691080e-07	1.881646e+12	6.605630e+15	2.848548e-04	-4.852694e+00	0.000000e+00
7.945188e-01	7.480628e-06	2.864229e+02	7.706536e-01	1.297600e+00	-7.721338e-05	1.859201e+13	-6.501260e+14	-2.859755e-02	-4.936286e+00	0.000000e+00
8.085811e-01	1.978743e-06	2.840147e+02	1.819827e+01	5.495027e-02	8.098245e-07	1.745067e+12	5.818151e+15	2.999350e-04	-4.884103e+00	0.000000e+00
8.226434e-01	-5.168447e-08	2.992822e+02	1.611634e+00	6.204882e-01	-1.011639e-07	-6.316844e+10	1.685925e+15	-3.746811e-05	-4.759078e+00	0.000000e+00
8.367057e-01	2.489440e-06	3.133829e+02	-6.957203e+00	-1.437359e-01	6.472211e-07	1.925018e+12	8.030559e+15	2.397115e-04	-4.810809e+00	0.000000e+00
8.507680e-01	9.168002e-06	3.087494e+02	1.099531e+01	9.094788e-02	3.657573e-06	7.829299e+12	5.779546e+15	1.354656e-03	-4.860103e+00	0.000000e+00
8.648302e-01	2.375717e-06	2.971754e+02	2.914489e+01	3.431133e-02	8.143877e-07	1.938323e+12	6.426267e+15	3.016251e-04	-4.852806e+00	0.000000e+00
8.788925e-01	4.005310e-07	2.866334e+02	4.191076e+00	2.386022e-01	2.099921e-07	3.588559e+11	4.614034e+15	7.777486e-05	-4.838280e+00	1.000000e+00
8.929548e-01	2.760025e-06	2.837638e+02	-6.058459e+00	-1.650585e-01	6.063619e-07	1.980118e+12	8.817041e+15	2.245785e-04	-4.887840e+00	0.000000e+00
9.070171e-01	1.113295e-05	2.988972e+02	8.303441e+00	1.204320e-01	4.166379e-06	9.057616e+12	5.869741e+15	1.543103e-03	-4.888081e+00	1.000000e+00
9.210794e-01	3.991990e-06	3.131664e+02	2.077664e+01	4.813099e-02	1.241314e-06	3.079774e+12	6.698860e+15	4.597459e-04	-4.824050e+00	1.000000e+00
9.351416e-01	8.836630e-07	3.090535e+02	5.432000e+00	1.840942e-01	3.593107e-07	7.217604e+11	5.423588e+15	1.330780e-04	-4.795865e+00	1.000000e+00
9.492039e-01	4.067744e-06	2.974410e+02	-8.527521e+00	-1.172674e-01	8.623645e-07	2.807343e+12	8.789585e+15	3.193942e-04	-4.861616e+00	0.000000e+00
9.632662e-01	1.377654e-05	2.868698e+02	3.740679e+00	2.673311e-01	6.457635e-06	1.144868e+13	4.786804e+15	2.391717e-03	-4.923238e+00	1.000000e+00
9.773285e-01	5.172659e-06	2.835488e+02	1.760750e+01	5.679397e-02	1.454633e-06	3.777736e+12	7.012001e+15	5.387528e-04	-4.904176e+00	1.000000e+00
9.913908e-01	1.152135e-06	2.985200e+02	5.475089e+00	1.826454e-01	4.154210e-07	8.869431e+11	5.764625e+15	1.538596e-04	-4.829230e+00	1.000000e+00
1.005453e+00	5.084743e-06	3.129321e+02	-4.239741e+00	-2.358635e-01	7.788418e-07	3.137177e+12	1.087561e+16	2.884599e-04	-4.825144e+00	0.000000e+00
1.019515e+00	1.850150e-05	3.093657e+02	7.430483e+00	1.345808e-01	5.654639e-06	1.349317e+13	6.442772e+15	2.094311e-03	-4.873097e+00	1.000000e+00
1.033578e+00	7.046956e-06	2.977324e+02	2.024295e+01	4.939992e-02	1.744801e-06	4.848052e+12	7.502140e+15	6.462226e-04	-4.874892e+00	1.000000e+00
1.047640e+00	2.568374e-06	2.871580e+02	6.335333e+00	1.578449e-01	7.833476e-07	1.845853e+12	6.362185e+15	2.901287e-04	-4.877382e+00	1.000000e+00
1.061702e+00	7.008771e-06	2.833731e+02	-4.806427e+00	-2.080548e-01	1.009939e-06	4.146736e+12	1.108601e+16	3.740514e-04	-4.906893e+00	0.000000e+00
1.075764e+00	2.335095e-05	2.981468e+02	4.772561e+00	2.095311e-01	7.617575e-06	1.681503e+13	5.959979e+15	2.821324e-03	-4.905810e+00	1.000000e+00
1.089827e+00	9.737417e-06	3.126870e+02	1.597838e+01	6.258457e-02	2.229031e-06	6.396474e+12	7.747977e+15	8.255670e-04	-4.844963e+00	1.000000e+00
1.103889e+00	3.957228e-06	3.096702e+02	5.265851e+00	1.899028e-01	1.170481e-06	2.746888e+12	6.336369e+15	4.335113e-04	-4.829886e+00	1.000000e+00
1.117951e+00	8.388309e-06	2.980079e+02	-6.517738e+00	-1.534275e-01	1.200446e-06	4.832795e+12	1.086975e+16	4.446097e-04	-4.874123e+00	0.000000e+00
1.132014e+00	2.814184e-05	2.873970e+02	2.175052e+00	4.597592e-01	1.639266e-05	2.238666e+13	3.687259e+15	6.071355e-03	-4.938570e+00	1.000000e+00
1.146076e+00	1.226018e-05	2.831783e+02	1.372895e+01	7.283880e-02	2.593245e-06	7.699143e+12	8.016091e+15	9.604610e-04	-4.922481e+00	1.000000e+00
1.160138e+00	4.855431e-06	2.977723e+02	3.850128e+00	2.597316e-01	1.539400e-06	3.335638e+12	5.850475e+15	5.701483e-04	-4.865198e+00	1.000000e+00
1.174200e+00	9.544482e-06	3.124318e+02	-9.894361e+00	-1.010677e-01	1.362507e-06	5.365957e+12	1.063340e+16	5.046321e-04	-4.840866e+00	0.000000e+00
1.188263e+00	3.138738e-05	3.099681e+02	-1.311400e+00	-7.625437e-01	1.581018e-06	1.326205e+13	2.264840e+16	5.855621e-04	-4.871181e+00	0.000000e+00
1.202325e+00	1.318591e-05	2.982738e+02	1.138136e+01	8.786294e-02	2.616574e-06	7.955110e+12	8.208749e+15	9.691014e-04	-4.886269e+00	1.000000e+00
1.216387e+00	4.765075e-06	2.876425e+02	1.289598e+00	7.754354e-01	9.149266e-06	4.437039e+12	1.309395e+15	3.388617e-03	-4.897873e+00	1.000000e+00
1.230450e+00	9.558895e-06	2.830199e+02	-1.285388e+01	-7.779752e-02	1.298080e-06	5.185824e+12	1.078649e+16	4.807702e-04	-4.913231e+00	0.000000e+00
1.244512e+00	3.149021e-05	2.973976e+02	-3.409423e+00	-2.933047e-01	2.859684e-06	1.530354e+13	1.444900e+16	1.059142e-03	-4.905187e+00	0.000000e+00
1.258574e+00	1.225637e-05	3.121548e+02	1.093323e+01	9.146426e-02	2.236797e-06	7.077174e+12	8.542739e+15	8.284433e-04	-4.849003e+00	1.000000e+00
1.272636e+00	4.462076e-06	3.102890e+02	2.834294e-01	3.528216e+00	-4.463850e-07	-3.182182e+12	1.924772e+16	-1.653278e-04	-4.832241e+00	0.000000e+00
1.286699e+00	8.778266e-06	2.985512e+02	-1.365186e+01	-7.325011e-02	1.099551e-06	4.564122e+12	1.120742e+16	4.072413e-04	-4.871294e+00	0.000000e+00
1.300761e+00	3.025680e-05	2.878928e+02	-2.614933e+00	-3.824189e-01	2.180304e-06	1.354205e+13	1.676993e+16	8.075198e-04	-4.924929e+00	0.000000e+00
1.314823e+00	1.136872e-05	2.828725e+02	1.223766e+01	8.171496e-02	1.861821e-06	6.251846e+12	9.066382e+15	6.895634e-04	-4.918155e+00	1.000000e+00
1.328885e+00	4.354447e-06	2.970232e+02	9.421394e-01	1.061414e+00	-4.360207e-05	4.842265e+12	-2.998508e+14	-1.614891e-02	-4.876632e+00	0.000000e+00
1.342948e+00	8.713324e-06	3.118493e+02	-1.396821e+01	-7.159111e-02	1.005063e-06	4.344080e+12	1.166993e+16	3.722456e-04	-4.836642e+00	0.000000e+00
1.357010e+00	2.903151e-05	3.106184e+02	-2.485752e+00	-4.022927e-01	1.863708e-06	1.235201e+13	1.789467e+16	6.902621e-04	-4.867707e+00	0.000000e+00
1.371072e+00	1.088148e-05	2.988549e+02	1.236095e+01	8.089994e-02	1.635965e-06	5.735973e+12	9.466660e+15	6.059130e-04	-4.876419e+00	1.000000e+00
1.385135e+00	4.233847e-06	2.881710e+02	-3.915979e-01	-2.553640e+00	2.865004e-08	9.310254e+11	8.774050e+16	1.061113e-05	-4.857777e+00	0.000000e+00
1.399197e+00	8.394433e-06	2.827717e+02	-1.460607e+01	-6.846467e-02	8.973093e-07	4.022921e+12	1.210495e+16	3.323368e-04	-4.907661e+00	0.000000e+00
1.413259e+00	2.769253e-05	2.966973e+02	-2.248366e+00	-4.447674e-01	1.536069e-06	1.111681e+13	1.954039e+16	5.689145e-04	-4.898695e+00	0.000000e+00
1.427321e+00	9.491093e-06	3.115663e+02	1.370329e+01	7.297515e-02	1.294707e-06	4.786127e+12	9.981056e+15	4.795211e-04	-4.839955e+00	1.000000e+00
1.441384e+00	4.329826e-06	3.109132e+02	9.647891e-01	1.036496e+00	-5.884704e-05	4.324286e+12	-1.984054e+14	-2.179520e-02	-4.838872e+00	0.000000e+00
1.455446e+00	8.296858e-06	2.991253e+02	-1.665348e+01	-6.004750e-02	8.329262e-07	3.838110e+12	1.244156e+16	3.084912e-04	-4.865391e+00	0.000000e+00
1.469508e+00	2.795204e-05	2.884274e+02	-5.262229e+00	-1.900335e-01	2.169570e-06	1.204669e+13	1.499195e+16	8.035443e-04	-4.920735e+00	0.000000e+00
1.483571e+00	9.572230e-06	2.826643e+02	1.384050e+01	7.225171e-02	1.206787e-06	4.642284e+12	1.038639e+16	4.469582e-04	-4.911418e+00	1.000000e+00
1.497633e+00	3.291758e-06	2.963210e+02	4.222731e+00	2.368136e-01	5.917727e-07	1.729026e+12	7.888788e+15	2.191751e-04	-4.852089e+00	1.000000e+00
1.511695e+00	6.728045e-06	3.112381e+02	-1.563351e+01	-6.396518e-02	6.214313e-07	2.990883e+12	1.299481e+16	2.301598e-04	-4.828168e+00	0.000000e+00
1.525757e+00	3.469779e-05	3.112439e+02	3.309207e-01	3.021872e+00	-6.753807e-06	-3.086717e+13	1.233991e+16	-2.501410e-03	-4.890756e+00	0.000000e+00
1.539820e+00	1.180208e-05	2.993938e+02	3.199091e+01	3.125888e-02	1.268232e-06	5.399792e+12	1.149588e+16	4.697154e-04	-4.873523e+00	1.000000e+00
1.553882e+00	2.853295e-06	2.886672e+02	3.641384e+01	2.746209e-02	2.987571e-07	1.291161e+12	1.166879e+16	1.106508e-04	-4.864603e+00	1.000000e+00
1.567944e+00	8.913222e-06	2.825537e+02	2.297013e+01	4.353480e-02	9.473815e-07	4.030037e+12	1.148545e+16	3.508820e-04	-4.908250e+00	1.000000e+00
1.582007e+00	9.670559e-05	2.959414e+02	3.165412e+01	3.159146e-02	9.851691e-06	4.307300e+13	1.180479e+16	3.648774e-03	-4.935069e+00	1.000000e+00
1.596069e+00	8.252989e-05	3.108911e+02	3.953839e+01	2.529187e-02	8.154408e-06	3.631899e+13	1.202555e+16	3.020151e-03	-4.895940e+00	1.000000e+00
1.610131e+00	2.028679e-05	3.115375e+02	2.317137e+01	4.315671e-02	2.043162e-06	8.930447e+12	1.180142e+16	7.567267e-04	-4.856773e+00	1.000000e+00
1.624193e+00	2.069697e-05	2.996362e+02	-6.597649e+00	-1.515691e-01	1.407977e-06	8.214682e+12	1.575285e+16	5.214729e-04	-4.883753e+00	0.000000e+00
1.638256e+00	6.932471e-05	2.888696e+02	4.011686e+00	2.492718e-01	1.073914e-05	3.352469e+13	8.428672e+15	3.977458e-03	-4.945145e+00	1.000000e+00
1.652318e+00	1.167523e-04	2.824229e+02	3.391403e+01	2.948632e-02	1.085632e-05	4.973586e+13	1.236946e+16	4.020860e-03	-4.969737e+00	1.000000e+00
1.666380e+00	3.015530e-05	2.955366e+02	3.843684e+01	2.601671e-02	2.737423e-06	1.271520e+13	1.254137e+16	1.013860e-03	-4.904931e+00	1.000000e+00
1.680442e+00	4.918319e-05	3.105262e+02	2.047359e+01	4.884342e-02	4.601485e-06	2.080549e+13	1.220798e+16	1.704254e-03	-4.881882e+00	1.000000e+00
1.694505e+00	2.224976e-04	3.118062e+02	1.584583e+01	6.310808e-02	2.109134e-05	9.402734e+13	1.203687e+16	7.811609e-03	-4.919368e+00	1.000000e+00
1.708567e+00	2.633529e-04	2.998824e+02	4.225650e+01	2.366500e-02	2.263179e-05	1.081739e+14	1.290528e+16	8.382144e-03	-4.949764e+00	1.000000e+00
1.722629e+00	1.028326e-04	2.891115e+02	4.077412e+01	2.452536e-02	8.708693e-06	4.191259e+13	1.299437e+16	3.225442e-03	-4.950146e+00	1.000000e+00
1.736692e+00	1.001065e-04	2.823355e+02	2.552229e+01	3.918144e-02	8.595390e-06	4.077363e+13	1.280789e+16	3.183478e-03	-4.965103e+00	1.000000e+00
1.750754e+00	6.214229e-04	2.951618e+02	3.482385e+01	2.871595e-02	5.138747e-05	2.497411e+14	1.312190e+16	1.903240e-02	-4.981572e+00	1.000000e+00
1.764816e+00	7.691625e-04	3.101963e+02	5.652450e+01	1.769144e-02	6.120594e-05	3.049471e+14	1.345224e+16	2.266887e-02	-4.954436e+00	1.000000e+00
1.778878e+00	4.146848e-04	3.120922e+02	4.795590e+01	2.085249e-02	3.268782e-05	1.633694e+14	1.349424e+16	1.210660e-02	-4.933582e+00	1.000000e+00
1.792941e+00	7.184846e-04	3.001536e+02	3.827810e+00	2.612460e-01	9.573579e-05	3.196616e+14	9.015295e+15	3.545770e-02	-4.977185e+00	1.000000e+00
1.807003e+00	2.111368e-03	2.893692e+02	-8.051722e+00	-1.241970e-01	1.219492e-04	7.629348e+14	1.689165e+16	4.516638e-02	-5.021904e+00	0.000000e+00
1.821065e+00	1.551761e-03	2.822834e+02	1.537695e+01	6.503238e-02	1.278777e-04	6.108053e+14	1.289650e+16	4.736211e-02	-5.031065e+00	1.000000e+00
1.835128e+00	2.968351e-04	2.947784e+02	1.860352e+01	5.375327e-02	2.352596e-05	1.152731e+14	1.322953e+16	8.713318e-03	-4.962760e+00	1.000000e+00
1.849190e+00	4.094642e-04	3.098394e+02	1.010184e+01	9.899185e-02	3.518205e-05	1.615577e+14	1.239853e+16	1.303039e-02	-4.938240e+00	1.000000e+00
1.863252e+00	3.521352e-03	3.123712e+02	2.341636e+01	4.270519e-02	2.645897e-04	1.339241e+15	1.366626e+16	9.799617e-02	-4.989599e+00	1.000000e+00
1.877314e+00	3.052964e-03	3.004337e+02	4.721627e+01	2.117914e-02	2.162202e-04	1.139870e+15	1.423386e+16	8.008157e-02	-5.009502e+00	1.000000e+00
1.891377e+00	1.220584e-03	2.895964e+02	3.226592e+01	3.099245e-02	8.688697e-05	4.545896e+14	1.412631e+16	3.218036e-02	-5.008516e+00	1.000000e+00
1.905439e+00	1.608921e-03	2.822326e+02	-1.598035e+00	-6.257683e-01	3.782144e-05	4.460262e+14	3.184096e+16	1.400794e-02	-5.023524e+00	0.000000e+00
1.919501e+00	4.565990e-03	2.944535e+02	2.647448e+00	3.777222e-01	7.239162e-04	2.033754e+15	7.585320e+15	2.681171e-01	-5.036314e+00	1.000000e+00
1.933564e+00	3.986259e-03	3.095448e+02	2.186936e+01	4.572607e-02	2.798785e-04	1.463183e+15	1.411539e+16	1.036587e-01	-4.997666e+00	1.000000e+00
1.947626e+00	1.705035e-03	3.125646e+02	1.663039e+01	6.013086e-02	1.215836e-04	6.259396e+14	1.390021e+16	4.503095e-02	-4.968722e+00	1.000000e+00
1.961688e+00	2.158127e-03	3.006245e+02	-3.630127e+00	-2.754725e-01	8.123958e-05	6.705831e+14	2.228685e+16	3.008873e-02	-4.995372e+00	0.000000e+00
1.975750e+00	6.138373e-03	2.897583e+02	-5.373091e-01	-1.861126e+00	3.526866e-05	1.116052e+15	8.543958e+16	1.306247e-02	-5.030602e+00	0.000000e+00
1.989813e+00	4.982014e-03	2.821547e+02	1.830253e+01	5.463725e-02	3.364695e-04	1.785127e+15	1.432476e+16	1.246183e-01	-5.057408e+00	1.000000e+00
2.003875e+00	2.016420e-03	2.940470e+02	1.469583e+01	6.804651e-02	1.381075e-04	7.224219e+14	1.412334e+16	5.115091e-02	-5.010891e+00	1.000000e+00
2.017937e+00	2.594275e-03	3.091795e+02	-3.748428e+00	-2.667785e-01	9.363682e-05	7.866406e+14	2.268263e+16	3.468031e-02	-4.981866e+00	0.000000e+00
2.032000e+00	7.298632e-03	3.127874e+02	2.706933e+00	3.694218e-01	1.008642e-03	3.055296e+15	8.178623e+15	3.735710e-01	-5.010990e+00	1.000000e+00
2.046062e+00	6.277308e-03	3.008621e+02	2.193533e+01	4.558855e-02	3.934895e-04	2.177287e+15	1.493986e+16	1.457368e-01	-5.025412e+00	1.000000e+00
2.060124e+00	2.692394e-03	2.899721e+02	1.652279e+01	6.052248e-02	1.717358e-04	9.346254e+14	1.469402e+16	6.360585e-02	-5.025736e+00	1.000000e+00
2.074186e+00	3.637695e-03	2.821051e+02	-3.300869e+00	-3.029505e-01	1.170573e-04	1.056260e+15	2.436331e+16	4.335455e-02	-5.044750e+00	0.000000e+00
2.088249e+00	9.148949e-03	2.936502e+02	3.472408e+00	2.879846e-01	9.617604e-04	3.549428e+15	9.964495e+15	3.562075e-01	-5.051993e+00	1.000000e+00
2.102311e+00	7.683902e-03	3.088208e+02	2.056700e+01	4.862157e-02	4.591097e-04	2.597888e+15	1.527804e+16	1.700406e-01	-5.014399e+00	1.000000e+00
